experiment,path,batch_size,sequence_length,sample,elapsed_ms
batch_length_scan,sequential,2,16,1,0.466189
batch_length_scan,sequential,2,16,2,0.563412
batch_length_scan,sequential,2,16,3,0.555552
batch_length_scan,sequential,2,16,4,0.391018
batch_length_scan,sequential,2,16,5,0.377478
batch_length_scan,sequential,2,16,6,0.385098
batch_length_scan,sequential,2,16,7,0.378598
batch_length_scan,sequential,2,16,8,0.378598
batch_length_scan,sequential,2,16,9,0.386188
batch_length_scan,sequential,2,16,10,0.378178
batch_length_scan,sequential,2,16,11,0.382198
batch_length_scan,sequential,2,16,12,0.380508
batch_length_scan,sequential,2,16,13,0.377108
batch_length_scan,sequential,2,16,14,0.379268
batch_length_scan,sequential,2,16,15,0.375438
batch_length_scan,sequential,2,16,16,0.379338
batch_length_scan,sequential,2,16,17,0.381638
batch_length_scan,sequential,2,16,18,0.378648
batch_length_scan,sequential,2,16,19,0.394678
batch_length_scan,sequential,2,16,20,0.552262
batch_length_scan,sequential,2,16,21,0.588842
batch_length_scan,sequential,2,16,22,0.408379
batch_length_scan,sequential,2,16,23,0.386288
batch_length_scan,sequential,2,16,24,0.378698
batch_length_scan,sequential,2,16,25,0.378388
batch_length_scan,sequential,2,16,26,0.381528
batch_length_scan,sequential,2,16,27,0.377608
batch_length_scan,sequential,2,16,28,0.376718
batch_length_scan,sequential,2,16,29,0.379688
batch_length_scan,sequential,2,16,30,0.377398
batch_length_scan,batched,2,16,1,0.226454
batch_length_scan,batched,2,16,2,0.226605
batch_length_scan,batched,2,16,3,0.222685
batch_length_scan,batched,2,16,4,0.226035
batch_length_scan,batched,2,16,5,0.261275
batch_length_scan,batched,2,16,6,0.325617
batch_length_scan,batched,2,16,7,0.324897
batch_length_scan,batched,2,16,8,0.353677
batch_length_scan,batched,2,16,9,0.288086
batch_length_scan,batched,2,16,10,0.224665
batch_length_scan,batched,2,16,11,0.227115
batch_length_scan,batched,2,16,12,0.232114
batch_length_scan,batched,2,16,13,0.224625
batch_length_scan,batched,2,16,14,0.225375
batch_length_scan,batched,2,16,15,0.224845
batch_length_scan,batched,2,16,16,0.228375
batch_length_scan,batched,2,16,17,0.223014
batch_length_scan,batched,2,16,18,0.225765
batch_length_scan,batched,2,16,19,0.230125
batch_length_scan,batched,2,16,20,0.223865
batch_length_scan,batched,2,16,21,0.231254
batch_length_scan,batched,2,16,22,0.223955
batch_length_scan,batched,2,16,23,0.225095
batch_length_scan,batched,2,16,24,0.224285
batch_length_scan,batched,2,16,25,0.237025
batch_length_scan,batched,2,16,26,0.223764
batch_length_scan,batched,2,16,27,0.223225
batch_length_scan,batched,2,16,28,0.223824
batch_length_scan,batched,2,16,29,0.227425
batch_length_scan,batched,2,16,30,0.223205
batch_length_scan,sequential,2,32,1,0.890739
batch_length_scan,sequential,2,32,2,1.101723
batch_length_scan,sequential,2,32,3,0.794967
batch_length_scan,sequential,2,32,4,0.784736
batch_length_scan,sequential,2,32,5,0.779307
batch_length_scan,sequential,2,32,6,0.775566
batch_length_scan,sequential,2,32,7,0.779857
batch_length_scan,sequential,2,32,8,0.779576
