experiment,target,run,prompt_tokens,output_tokens,load_ms,prefill_ms,decode_ms,approx_tpot_ms,decode_tokens_per_s,total_ms,client_ms,done_reason
input_length_v2,64,1,126,32,90.345,67.729,367.148,11.473,87.16,530.8,533.266,length
input_length_v2,64,2,129,32,82.524,74.566,366.561,11.455,87.3,529.908,532.191,length
input_length_v2,64,3,129,32,83.751,67.185,367.586,11.487,87.05,524.443,526.668,length
input_length_v2,64,4,131,32,81.943,81.583,366.994,11.469,87.19,536.735,538.805,length
input_length_v2,64,5,126,32,83.518,66.105,362.628,11.332,88.24,518.491,520.925,length
input_length_v2,512,1,611,32,82.635,278.318,371.632,11.614,86.11,740.702,744.15,length
input_length_v2,512,2,621,32,82.732,295.931,378.417,11.826,84.56,767.385,770.964,length
input_length_v2,512,3,613,32,84.035,279.655,378.243,11.82,84.6,753.01,756.157,length
input_length_v2,512,4,613,32,87.319,285.533,372.36,11.636,85.94,756.481,759.354,length
input_length_v2,512,5,608,32,84.268,290.832,375.913,11.747,85.13,762.574,765.594,length
input_length_v2,2048,1,2267,32,85.823,1258.724,428.568,13.393,74.67,1788.484,1793.243,length
input_length_v2,2048,2,2283,32,87.298,1266.488,431.937,13.498,74.08,1811.201,1815.835,length
input_length_v2,2048,3,2256,32,85.179,1252.21,419.648,13.114,76.25,1783.827,1788.739,length
input_length_v2,2048,4,2272,32,86.278,1264.491,434.667,13.583,73.62,1809.586,1814.619,length
input_length_v2,2048,5,2276,32,88.985,1264.311,427.817,13.369,74.8,1805.898,1810.743,length
