experiment,path,batch_size,sequence_length,sample,elapsed_ms
batch_size_scan,sequential,4,128,1,5.341952
batch_size_scan,sequential,4,128,2,5.377173
batch_size_scan,sequential,4,128,3,5.371313
batch_size_scan,sequential,4,128,4,5.363332
batch_size_scan,sequential,4,128,5,5.339833
batch_size_scan,sequential,4,128,6,5.368812
batch_size_scan,sequential,4,128,7,5.340363
batch_size_scan,sequential,4,128,8,5.372032
batch_size_scan,sequential,4,128,9,5.349873
batch_size_scan,sequential,4,128,10,5.383503
batch_size_scan,sequential,4,128,11,5.372473
batch_size_scan,sequential,4,128,12,5.425124
batch_size_scan,sequential,4,128,13,5.371143
batch_size_scan,sequential,4,128,14,5.351602
batch_size_scan,sequential,4,128,15,5.372533
batch_size_scan,sequential,4,128,16,5.381143
batch_size_scan,sequential,4,128,17,5.378233
batch_size_scan,sequential,4,128,18,5.387653
batch_size_scan,sequential,4,128,19,5.419784
batch_size_scan,sequential,4,128,20,5.544747
batch_size_scan,sequential,4,128,21,5.422214
batch_size_scan,sequential,4,128,22,5.396023
batch_size_scan,sequential,4,128,23,5.371123
batch_size_scan,sequential,4,128,24,5.429744
batch_size_scan,sequential,4,128,25,5.348193
batch_size_scan,sequential,4,128,26,5.367202
batch_size_scan,sequential,4,128,27,5.357483
batch_size_scan,sequential,4,128,28,5.375903
batch_size_scan,sequential,4,128,29,5.355923
batch_size_scan,sequential,4,128,30,5.412463
batch_size_scan,batched,4,128,1,2.649061
batch_size_scan,batched,4,128,2,2.557958
batch_size_scan,batched,4,128,3,2.594600
batch_size_scan,batched,4,128,4,2.627320
batch_size_scan,batched,4,128,5,2.641760
batch_size_scan,batched,4,128,6,2.599630
batch_size_scan,batched,4,128,7,2.609159
batch_size_scan,batched,4,128,8,2.612850
batch_size_scan,batched,4,128,9,2.655101
batch_size_scan,batched,4,128,10,2.643830
batch_size_scan,batched,4,128,11,2.565599
batch_size_scan,batched,4,128,12,2.625640
batch_size_scan,batched,4,128,13,2.653910
batch_size_scan,batched,4,128,14,2.665542
batch_size_scan,batched,4,128,15,2.642330
